id,cleaned_report_title,report_category_name,summary,text_content,is_waste,sample_task_id,sample_report_title,sample_report_text,user_id,created,updated,first_found,last_found,count,error_task_time,log_task_time,requeue_task_time,report_category_weight,predicted_task_time,predicted_task_status_error,predicted_task_status_completed,predicted_job_status,plugin
10,sandbox process exited unexpectedly while waiting for response from plugin,sandbox process exited unexpectedly while waiting for response from plugin,"Deadline's ""sandbox"" has stalled or crashed","Deadline has a ""sandbox"" that opens up per slave. This is where the plugin or application gets processed and logged by deadline.   This sandbox is it's own application and is subject to crashing  In this case - Deadline's Sandbox has crashed waiting for the plugin to communicate",TRUE,,Sandbox process exited unexpectedly while waiting for response from Plugin.,,,,,,,,,,,,,,,,Redshift
11,error error read footagecloud tanksspace mov reader failed to decode frame invalid data found when processing input at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,mov64Reader failed to decode frame Invalid data found when processing input,Quicktime Codec issue,"This is due to either an uninstalled or corrupt quicktime codecs, please reinstall or install quicktime in order to fix.",TRUE,,"Error: FailRenderException : >>> [10:35.02] ERROR: Read21: //bstorage/projects/NJ/04_PRODUCTION/NJ00_REUSE_MATERIALS/STOCK FOOTAGE/CLOUD TANKS/SPACE KIT/1_Atmospheres/Atmos_3.mp4: mov64Reader failed to decode frame: Invalid data found when processing input    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18plugins60489fda4494f83b40dc1e9fNuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18plugins60489fda4494f83b40dc1e9fNuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18plugins60489fda4494f83b40dc1e9fNuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18plugins60489fda4494f83b40dc1e9fNuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
12,error deadline was unable to find nuke on the machine comp it tried and failed to find the render executable at these configured checks each of the above paths and will attempt to run only the first program or script that is present on the file system we attempt to provide the typical defaults for you when local render nodes you will need to ensure the particular software is installed and ensure list of globally configured locations is accurate for your configure custom location in the monitor while in super user mode select tools configure plugins nuke then provide the path to the exectuable you would like deadline to run for this plugin if this is thinkbox provided ami for aws portal it may be that the ami in use does not support this particular application please ensure the image has the correct software and version available at message at key string prettyname file line in return exekey nuke selfversion at args at version cultureneutral at waitforexit at string at waitforexit at name managedprocess at name managedprocess string username string domain string password boolean usesu boolean at name managedprocess file line in startjob selfprocess at args at outmessage abortlevel abortlevel at outmessage abortlevel,deadline was unable to find nuke 11.2 on the machine,Wrong version of nuke used.,"During production we use approved versions, so that we do not introudce any extra bugs during time critical time.  If you are getting this error message then the artist needs to check the version they are using.   If you do not have the correct version of the application installed please talk to your Systems Administrator",TRUE,,"Error: ManagedProcessAbort : Error: FailRenderException : Deadline was unable to find Nuke 11.2 on the machine NUKENODE03.  It tried and failed to find the render executable at these configured locations: C:Program FilesNuke11.2v1Nuke11.2.exe /usr/local/Nuke11.2v1/Nuke11.2 /Applications/Nuke11.2v1/Nuke11.2v1.app/Contents/MacOS/Nuke11.2v1  Deadline checks each of the above paths and will attempt to run only the first program or script that is present on the file system. We attempt to provide the typical defaults for you when possible.  For local render nodes, you will need to ensure the particular software is installed and ensure list of globally configured locations is accurate for your installation. To configure a custom location, in the Monitor while in Super User mode select Tools -> Configure Plugins -> Nuke, then provide the path to the exectuable you would like Deadline to run for this plugin.  If this is a Thinkbox provided AMI for AWS Portal, it may be that the AMI in use does not support this particular application. Please ensure the image has the correct software and version available.    at Deadline.Plugins.DeadlinePlugin.FailRender(String message)    at Deadline.Plugins.DeadlinePlugin.GetRenderExecutable(String key, String prettyName) (Python.Runtime.PythonException)   File C:UsersAdministratorAppDataLocalThinkboxDeadline10slaveNUKENODE03-_I02plugins60216d696bb4930df41e00b9Nuke.py, line 418, in RenderExecutable     return self.deadlinePlugin.GetRenderExecutable( exeKey, Nuke %s % self.Version )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0`1[[System_String, System_Private_CoreLib, Version=4_0_0_0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]Dispatcher.Invoke()    at FranticX.Processes.ManagedProcess.RenderExecutable()    at FranticX.Processes.ManagedProcess.Execute(Boolean waitForExit)    at FranticX.Processes.ManagedProcess.GenerateManagedProcessAbortException(Exception e, String operationName)    at FranticX.Processes.ManagedProcess.Execute(Boolean waitForExit)    at FranticX.Processes.MonitoredManagedProcesses.StartMonitoredManagedProcess(String name, ManagedProcess managedProcess)    at Deadline.Plugins.DeadlinePlugin.StartMonitoredManagedProcessAsUser(String name, ManagedProcess managedProcess, String userName, String domain, String password, Boolean useSu, Boolean preserveEnvironment, Boolean setHomeVariable)    at Deadline.Plugins.DeadlinePlugin.StartMonitoredManagedProcess(String name, ManagedProcess managedProcess) (Python.Runtime.PythonException)   File C:UsersAdministratorAppDataLocalThinkboxDeadline10slaveNUKENODE03-_I02plugins60216d696bb4930df41e00b9Nuke.py, line 209, in StartJob     self.StartMonitoredManagedProcess( self.ProcessName, self.Process )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.StartJob()    at Deadline.Plugins.DeadlinePlugin.DoStartJob()    at Deadline.Plugins.PluginWrapper.StartJob(String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.StartJob(String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
13,error fatal error out of memory trying to allocate internal tcmalloc data bytes objectsize at message file line in rendertasks file line in writepython file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,out of memory trying to allocate internal tcmalloc data bytes,Out of RAM/Memory,"This is a RAM issue.   Different to allocation, this error identifies the machine has run out of usable RAM  If you are experiencing this error please look into optimizing your scene",TRUE,,"Error: FailRenderException : c:cygdrivecworkspacethirdpartygperftools2.0srcgperftoolssrcpage_heap_allocator.h:73] FATAL ERROR: Out of memory trying to allocate internal tcmalloc data (bytes, object-size) 131072 1432     at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Usersjon.tennentAppDataLocalThinkboxDeadline10slaveCONA03-_I06plugins6058cc0fcada8c0c58e6f6b0Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Usersjon.tennentAppDataLocalThinkboxDeadline10slaveCONA03-_I06plugins6058cc0fcada8c0c58e6f6b0Nuke.py, line 37, in WritePython     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Usersjon.tennentAppDataLocalThinkboxDeadline10slaveCONA03-_I06plugins6058cc0fcada8c0c58e6f6b0Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
14,error attributeerror nukeplugin object has no attribute file line in return exekey nuke selfversion at outmessage abortlevel,<> object has no attribute <>,"Nuke node or object does not have the attribute ""X"" - in this case PythonPanel ",Nuke nodes/objects all have an attribute attatched to it.   If you are experience this error please look through your script for any unapproved nodes/objects you have introduced to your script,TRUE,,"Error: Error: AttributeError : 'NukePlugin' object has no attribute 'GetRenderExecutable' (Python.Runtime.PythonException)   File C:Usersjon.tennentAppDataLocalThinkboxDeadline10slaveCONA03-_I04plugins601d781d34ff812c6c9ba5b7Nuke.py, line 418, in RenderExecutable     return self.deadlinePlugin.GetRenderExecutable( exeKey, Nuke %s % self.Version )     at Deadline.Plugins.PluginWrapper.StartJob(String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
15,error memory malloc failed and cannot free anything throwing stdbadalloc this will probably crash error read bad allocation at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,bad allocation memory malloc failed and cannot free anything throwing std,RAM/Memory cannot be released,This is a RAM issue.  This error shows that the slaves memory is unable to be freed as another job is currently still loaded in.   If you are getting this error it is possible that your shot is unoptimized. Please look into your scene for any way to optimize the assets you are loading in,TRUE,,"Error: FailRenderException : Memory: malloc failed and cannot free anything, throwing std::bad_alloc. This will probably crash![10:02.49] ERROR: Read21: bad allocation    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11-_I04plugins606c23504c81c365686bb417Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11-_I04plugins606c23504c81c365686bb417Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11-_I04plugins606c23504c81c365686bb417Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11-_I04plugins606c23504c81c365686bb417Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
16,error error keylight effect raised an error during render at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,effect raised an error during render,"""X"" Node has recorded an error (This may be clustered incorrectly)",,TRUE,,"Error: FailRenderException : >>> >>> >>> [17:46.28] ERROR: Keylight1: Effect raised an error during render.    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:UsersAdministratorAppDataLocalThinkboxDeadline10slaveNUKENODE06-_I03plugins60410cae6c761b6f54837d37Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:UsersAdministratorAppDataLocalThinkboxDeadline10slaveNUKENODE06-_I03plugins60410cae6c761b6f54837d37Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:UsersAdministratorAppDataLocalThinkboxDeadline10slaveNUKENODE06-_I03plugins60410cae6c761b6f54837d37Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:UsersAdministratorAppDataLocalThinkboxDeadline10slaveNUKENODE06-_I03plugins60410cae6c761b6f54837d37Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
17,error exception of type was thrown at dg boolean dh at nohandling at name at name file line in rendertasks file line in writepython file line in at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,exception of type system out of memory exception was thrown,Data is too large to fit into RAM/memory,This is a RAM issue.  The assets in your scene that are loading into RAM are too large for the capacity of the machine.  Please look into optimizing your scene,TRUE,,"Error: OutOfMemoryException : Exception of type 'System.OutOfMemoryException' was thrown.    at FranticX.Processes.ManagedProcess.RegexHandlerCallback.CallFunction()    at FranticX.Processes.ManagedProcess.e(String dg, Boolean dh)    at FranticX.Processes.ManagedProcess.FlushStdout(Boolean noHandling)    at FranticX.Processes.MonitoredManagedProcesses.FlushStdout(String name)    at Deadline.Plugins.DeadlinePlugin.FlushMonitoredManagedProcessStdout(String name) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11-_I05plugins6040c4382967fb47f89d7310Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11-_I05plugins6040c4382967fb47f89d7310Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11-_I05plugins6040c4382967fb47f89d7310Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
18,error error zdefocus exception while running kernel on device at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,exception while running kernel on device,,,FALSE,,"Error: FailRenderException : [17:24.08] ERROR: ZDefocus1: Exception while running kernel on device    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18-_I02plugins6058d04284cc0f226459d7c0Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18-_I02plugins6058d04284cc0f226459d7c0Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18-_I02plugins6058d04284cc0f226459d7c0Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18-_I02plugins6058d04284cc0f226459d7c0Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
19,error runtimeerror uncaught exception occured during the execution of the python script at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,runtime error uncaught c++ exception occured during the execution of the python script,Unexpected General Error,This is a generic error that has not been classified in code level.   Please send this on to the Systems Administrator for logging,TRUE,,"Error: FailRenderException : RuntimeError: Uncaught C++ exception occured during the execution of the python script!    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA21-_I05plugins604246424b39232920bf318fNuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA21-_I05plugins604246424b39232920bf318fNuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA21-_I05plugins604246424b39232920bf318fNuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA21-_I05plugins604246424b39232920bf318fNuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
20,error global asset transfer preload script function main is not defined in the global asset transfer preload script at outmessage abortlevel,global asset transfer preload script,File transfer protocol has failed ( Need a little more infor on this error ) ,,TRUE,,"Error: Global asset transfer preload script 'C:UsersAdministratorAppDataLocalThinkboxDeadline10slaveNUKENODE03-_I04plugins6020112906e8152ebc715ca6GlobalAssetTransferPreLoad.py': Function __main__ is not defined in the global asset transfer preload script: 'C:UsersAdministratorAppDataLocalThinkboxDeadline10slaveNUKENODE03-_I04plugins6020112906e8152ebc715ca6GlobalAssetTransferPreLoad.py' (Deadline.Plugins.RenderPluginException)    at Deadline.Plugins.PluginWrapper.d()    at Deadline.Plugins.PluginWrapper.d()    at Deadline.Plugins.PluginWrapper.StartJob(String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Redshift
21,event error onjoberror typeerror onjoberror takes exactly arguments given,type error onjoberror() takes exactly <n> arguments <m> given,,,FALSE,,Event Error (OnJobError): TypeError : OnJobError() takes exactly 2 arguments (4 given),,,,,,,,,,,,,,,,Nuke
22,error global asset transfer preload script function main is not defined in the global asset transfer preload script at outmessage abortlevel,global asset transfer preload script,File transfer protocol has failed ( Need a little more infor on this error ) ,,TRUE,,"Error: Global asset transfer preload script 'C:UsersAdministratorAppDataLocalThinkboxDeadline10slaveGPUNODE01-_I03plugins6094f504b7c457350c615e06GlobalAssetTransferPreLoad.py': Exception of type 'System.OutOfMemoryException' was thrown. (System.OutOfMemoryException)    at Deadline.Scripting.DeadlineScriptManager.CallFunction(String moduleName, String functionName, Object[] args)    at Deadline.Plugins.PluginWrapper.d()    at Deadline.Plugins.PluginWrapper.d()    at Deadline.Plugins.PluginWrapper.StartJob(String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
23,event error onjoberror fatal sorry too many clients already,event error onjoberror fatal sorry too many clients already,,,FALSE,,"Event Error (OnJobFinished): OperationalError : FATAL:  sorry, too many clients already ",,,,,,,,,,,,,,,,Nuke
24,error failed to create thread out of resources at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,failed to create thread out of resources,,,FALSE,,"Error: FailRenderException : >>> Error: failed to create thread, out of resources.    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18-_I02plugins6058d04284cc0f226459d7c0Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18-_I02plugins6058d04284cc0f226459d7c0Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18-_I02plugins6058d04284cc0f226459d7c0Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA18-_I02plugins6058d04284cc0f226459d7c0Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
25,error error edgeextend couldnt find function at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,error couldn't find function <>,,,FALSE,,"Error: FailRenderException : [ 9:16.08] ERROR: EdgeExtend1: Couldn't find function of85b615a27ea3a460.    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11plugins6059b00a9ae2802108f9335dNuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11plugins6059b00a9ae2802108f9335dNuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11plugins6059b00a9ae2802108f9335dNuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA11plugins6059b00a9ae2802108f9335dNuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
26,event error onjoberror sandbox process exited unexpectedly while waiting for response from event,sandbox process exited unexpectedly while waiting for response from event,,,FALSE,,Event Error (OnJobError): Sandbox process exited unexpectedly while waiting for response from Event.,,,,,,,,,,,,,,,,Nuke
27,error error read read error no such file or directory at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,read error: no such file or directory,,,FALSE,,"Error: FailRenderException : >>> [14:34.39] ERROR: Read9: //bstorage/projects/NJ/04_PRODUCTION/NJ02_GREEN_EYED_NOVA/09_FOOTAGE/DENOISED DPXs/0290_NJ02/0290_NJ02_B_23.dpx: Read error: No such file or directory    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA17-_I03plugins605b4dc954b9c11d486e5162Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA17-_I03plugins605b4dc954b9c11d486e5162Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA17-_I03plugins605b4dc954b9c11d486e5162Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveCONA17-_I03plugins605b4dc954b9c11d486e5162Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
28,error error mainwrite exr write failed cannot open image file permission denied at message file line in rendertasks file line in writepython file line in file line in handleerror at args at task string outmessage abortlevel abortlevel at task string outmessage abortlevel,"exr write failed cannot open image file, permission denied",,,FALSE,,"Error: FailRenderException : >>> [17:17.50] ERROR: MainWrite: EXR: Write failed [Cannot open image file //bstorage/projects/NJ/04_PRODUCTION/NJ00_RENDERS/01.COMP/NJ02/0530_NJ02/exr/8017710282815633734.tmp. Permission denied.]    at Deadline.Plugins.DeadlinePlugin.FailRender(String message) (Python.Runtime.PythonException)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I03plugins6058d04284cc0f226459d7c0Nuke.py, line 262, in RenderTasks     self.WritePython(scriptContents)   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I03plugins6058d04284cc0f226459d7c0Nuke.py, line 39, in WritePython     self.WaitForProcess()   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I03plugins6058d04284cc0f226459d7c0Nuke.py, line 46, in WaitForProcess     self.FlushMonitoredManagedProcessStdout( self.ProcessName )   File C:Userssir.renderAppDataLocalThinkboxDeadline10slaveRYZEN01-_I03plugins6058d04284cc0f226459d7c0Nuke.py, line 621, in HandleError     self.deadlinePlugin.FailRender( self.GetRegexMatch( 0 ) )    at Python.Runtime.Dispatcher.Dispatch(ArrayList args)    at __FranticX_GenericDelegate0Dispatcher.Invoke()    at Deadline.Plugins.DeadlinePlugin.RenderTasks()    at Deadline.Plugins.DeadlinePlugin.DoRenderTasks()    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)    at Deadline.Plugins.PluginWrapper.RenderTasks(Task task, String& outMessage, AbortLevel& abortLevel)",,,,,,,,,,,,,,,,Nuke
